	 181759
inclusion body	 8
G2 DNA damage checkpoint	 12
negative regulation of platelet-derived growth factor receptor signaling pathway	 4
host cell nucleolus	 1
L-serine transmembrane transporter activity	 1
microsome	 181
methylisocitrate lyase activity	 1
heme a biosynthetic process	 7
glutathione transmembrane transporter activity	 5
[protein-PII] uridylyltransferase activity	 28
nucleotide-excision repair factor 4 complex	 3
Ino80 complex	 5
acetyl-CoA metabolic process	 13
fatty acid metabolic process	 81
defense response to bacterium, incompatible interaction	 5
glutamate-putrescine ligase activity	 8
chloride transmembrane transporter activity	 2
histone H3-Y41 phosphorylation	 1
low-density lipoprotein particle clearance	 5
potassium channel inhibitor activity	 3
tRNA processing	 222
glutaminyl-peptide cyclotransferase activity	 4
asparaginase activity	 8
DNA/RNA helicase activity	 1
enzyme activator activity	 8
proton-transporting two-sector ATPase complex	 55
pyrophosphatase activity	 5
planar dichotomous subdivision of terminal units involved in lung branching morphogenesis	 3
histone demethylase activity (H4-R3 specific)	 1
1-acylglycerol-3-phosphate O-acyltransferase activity	 12
phosphatidylinositol biosynthetic process	 5
positive regulation of metalloenzyme activity	 1
post-embryonic organ morphogenesis	 4
proline racemase activity	 5
mammary gland duct morphogenesis	 16
keratinocyte differentiation	 14
positive regulation of multicellular organism growth	 19
negative regulation of photoreceptor cell differentiation	 11
astral microtubule nucleation	 1
axonal defasciculation	 7
mTOR-FKBP12-rapamycin complex	 1
extracellular matrix binding	 4
regulation of mitotic spindle elongation	 2
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	 31
lens morphogenesis in camera-type eye	 5
regulation of receptor activity	 9
positive regulation of interleukin-1 alpha secretion	 2
autophagic cell death	 14
cellular response to phosphate starvation	 4
negative regulation of phosphorylation	 7
dephospho-CoA kinase activity	 2
negative regulation of activated T cell proliferation	 5
gamma-glutamyl-peptidase activity	 4
patched binding	 1
positive regulation of striated muscle contraction	 4
glial cell development	 1
cyclin catabolic process	 3
regulation of epidermal growth factor-activated receptor activity	 1
regulation of phosphorylation	 10
cell wall (1->3)-beta-D-glucan biosynthetic process	 4
pseudocleavage involved in syncytial blastoderm formation	 2
rhabdomere	 8
negative regulation of osteoblast differentiation	 25
apoptotic process	 599
positive regulation of muscle organ development	 1
auxin polar transport	 6
small nucleolar ribonucleoprotein complex	 6
gastrulation	 18
lipoamide binding	 2
integral to peroxisomal membrane	 4
regulation of muscle contraction	 14
face morphogenesis	 26
3-hydroxybutyryl-CoA epimerase activity	 20
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity	 13
lovastatin nonaketide synthase activity	 63
polar-amino acid-transporting ATPase activity	 6
re-entry into mitotic cell cycle	 2
oxalate decarboxylase activity	 1
cAMP binding	 50
peroxisome localization	 3
adult heart development	 37
ion transport	 1201
innate immune response in mucosa	 11
negative regulation of mature B cell apoptotic process	 1
molting cycle, chitin-based cuticle	 3
negative regulation of gluconeogenesis	 4
Spemann organizer formation	 2
regulation of hemocyte differentiation	 1
nuclear outer membrane	 6
bacterial-type flagellum	 8
coenzyme A biosynthetic process	 17
low voltage-gated calcium channel activity	 15
aminocarboxymuconate-semialdehyde decarboxylase activity	 1
integral to membrane of membrane fraction	 7
mitochondrial inner membrane presequence translocase complex	 11
superoxide-generating NADPH oxidase activity	 6
protein phosphorylation	 2811
plasma membrane enriched fraction	 24
malate dehydrogenase (oxaloacetate-decarboxylating) activity	 3
protein complex localization	 3
1,2-diacylglycerol 3-beta-galactosyltransferase activity	 3
glycerophospholipid catabolic process	 1
glucan 1,4-alpha-maltotetraohydrolase activity	 15
glycerol kinase activity	 27
soluble fraction	 222
cell growth	 21
nucleotide-excision repair, DNA incision, 5'-to lesion	 6
Wnt receptor signaling pathway involved in forebrain neuroblast division	 11
termination of RNA polymerase III transcription	 11
peptide-aspartate beta-dioxygenase activity	 23
regulation of light-activated channel activity	 4
racemase and epimerase activity, acting on carbohydrates and derivatives	 19
positive regulation of cellular component movement	 11
neuron apoptotic process	 25
NuA3 histone acetyltransferase complex	 1
leading strand elongation	 3
toxin metabolic process	 2
angiostatin binding	 1
basement membrane organization	 19
sarcoplasmic reticulum membrane	 15
apical lamina of hyaline layer	 18
NADH dehydrogenase (quinone) activity	 136
protein disulfide oxidoreductase activity	 180
3-oxoacyl-[acyl-carrier-protein] synthase activity	 39
cellular response to stress	 16
smooth muscle cell differentiation	 2
nitrobenzene metabolic process	 1
rhabdomere development	 7
centrosome localization	 2
BRE binding	 2
establishment of meiotic spindle orientation	 4
endoplasmic reticulum calcium ion homeostasis	 3
cerebellar Purkinje cell layer morphogenesis	 1
positive regulation of TOR signaling cascade	 4
sevenless binding	 2
negative transcription elongation factor activity	 1
ribosome biogenesis	 117
axon part	 3
protein localization	 98
positive regulation of ubiquitin-protein ligase activity	 5
mitochondrial pyruvate dehydrogenase complex	 1
response to selenium ion	 5
positive regulation of macrophage cytokine production	 4
vesicle-mediated transport	 325
chromate transmembrane transporter activity	 2
peptide modification	 1
chorismate metabolic process	 9
positive regulation of interleukin-2 production	 27
amino-acid betaine biosynthetic process	 1
autophagic vacuole	 3
histone methyltransferase activity (H3-K36 specific)	 2
fibroblast migration	 4
chitin catabolic process	 7
regulation of fungal-type cell wall organization	 2
positive regulation of gastrulation	 18
canonical Wnt receptor signaling pathway involved in neural crest cell differentiation	 6
ethanol catabolic process	 1
sevenless signaling pathway	 3
G-protein coupled photoreceptor activity	 7
cell outer membrane	 38
positive regulation of S phase of mitotic cell cycle	 3
protein polyglycylation	 19
positive regulation of oxidoreductase activity	 12
prostate gland growth	 4
initiation of viral infection	 2
endosome membrane	 121
proteasome core complex	 37
3-deoxy-manno-octulosonate cytidylyltransferase activity	 5
bone morphogenesis	 21
GTP-dependent protein binding	 11
negative regulation of ATPase activity	 2
regulation of fatty acid biosynthetic process	 2
natural killer cell mediated cytotoxicity	 4
low-density lipoprotein particle remodeling	 1
response to stress	 569
nucleotide-binding oligomerization domain containing 1 signaling pathway	 1
base-excision repair, DNA ligation	 2
regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback	 3
positive regulation of cell projection organization	 1
cellular response to metal ion	 1
UDP-galactose transmembrane transport	 3
RNA cap binding	 7
fluorene oxygenase activity	 2
serine-type carboxypeptidase activity	 17
3-chloroallyl aldehyde dehydrogenase activity	 8
positive regulation of peptidyl-serine phosphorylation	 11
ubiquinone biosynthetic process	 32
isochorismate synthase activity	 3
heterochromatin organization	 1
beta-ketoadipate pathway	 2
microtubule binding	 72
response to muramyl dipeptide	 39
mitochondrial crista	 3
ventricular septum morphogenesis	 2
DNA replication proofreading	 2
O-acetyltransferase activity	 13
positive regulation of NFAT protein import into nucleus	 4
regulation of pH	 26
malate-aspartate shuttle	 1
embryonic heart tube left/right pattern formation	 3
glucosylceramide catabolic process	 2
detection of temperature stimulus involved in sensory perception	 2
regulation of lipid storage	 6
T-helper 1 type immune response	 6
L-arabinose metabolic process	 7
cellular membrane organization	 101
regulation of tube size, open tracheal system	 2
malate dehydrogenase activity	 14
negative regulation of histone H3-K36 methylation	 1
methylenetetrahydrofolate dehydrogenase (NADP+) activity	 6
eggshell chorion gene amplification	 7
negative regulation of cell killing	 1
antigen binding	 9
zymogen binding	 11
phenylalanine decarboxylase activity	 1
riboflavin transporter activity	 2
histidine decarboxylase activity	 4
chemosensory behavior	 1
meiotic cohesin complex	 3
abscisic acid metabolic process	 1
phosphatidyl-N-methylethanolamine N-methyltransferase activity	 1
Ran guanyl-nucleotide exchange factor activity	 1
phosphatidylinositol-3,4,5-trisphosphate binding	 6
negative regulation of axon extension involved in regeneration	 1
starch biosynthetic process	 9
glutamate receptor binding	 4
mRNA methylation	 9
translation release factor activity	 26
sensory perception of bitter taste	 2
heart contraction	 34
sarcoplasmic reticulum lumen	 5
exoribonuclease activity, producing 5'-phosphomonoesters	 3
isocitrate hydro-lyase (cis-aconitate-forming) activity	 24
thiopurine S-methyltransferase activity	 3
gonad development	 12
gamma-secretase complex	 1
platelet dense granule	 1
negative regulation of T cell activation	 1
attachment of GPI anchor to protein	 6
methylglyoxal reductase (NADPH-dependent) activity	 3
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	 16
germinal center formation	 1
ER-associated protein catabolic process	 35
clustering of voltage-gated potassium channels	 2
desensitization of G-protein coupled receptor protein signaling pathway	 6
adenine salvage	 2
limb development	 17
detection of glucose	 4
regulation of T cell proliferation	 2
chorion development	 1
morphogenesis of larval imaginal disc epithelium	 2
tubulin complex assembly	 4
telomeric loop formation	 1
calcium channel activity	 172
delayed rectifier potassium channel activity	 4
aspartate-tRNA ligase activity	 29
spread of virus in multicellular host	 1
clathrin coat of synaptic vesicle	 1
uroporphyrinogen-III synthase activity	 4
endoplasmic reticulum membrane fusion	 2
SNARE complex	 1
flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase activity	 1
Mo-molybdopterin cofactor sulfurase activity	 9
apolipoprotein E binding	 9
regulation of pollen tube growth	 4
elevation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway	 2
eye photoreceptor cell development	 14
intracellular cAMP activated cation channel activity	 2
locomotor rhythm	 9
nucleus	 3424
ribosomal-protein-alanine N-acetyltransferase activity	 3
germ cell programmed cell death	 6
D-amino acid catabolic process	 1
aspartate dehydrogenase activity	 1
dextransucrase activity	 11
ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	 3
acetylornithine deacetylase activity	 2
cellular response to starvation	 8
cytokine production involved in inflammatory response	 1
regulation of G-protein coupled receptor protein signaling pathway	 3
testosterone biosynthetic process	 1
biphenyl metabolic process	 3
cellular response to inorganic substance	 4
formylmethanofuran dehydrogenase activity	 1
isochorismatase activity	 3
detection of mechanical stimulus	 6
ethanol binding	 1
3-deoxy-7-phosphoheptulonate synthase activity	 20
RNA polymerase II transcription factor binding transcription factor activity	 1
succinate dehydrogenase activity	 85
8-amino-7-oxononanoate synthase activity	 5
glycosphingolipid biosynthetic process	 2
chromosome, centromeric region	 61
second mitotic wave involved in compound eye morphogenesis	 1
membrane protein ectodomain proteolysis	 6
mRNA transport	 52
mast cell secretory granule organization	 1
gene silencing by RNA	 34
basipetal auxin transport	 4
compound eye cone cell differentiation	 3
proteasome regulatory particle, lid subcomplex	 3
nicotinamide N-methyltransferase activity	 3
stem cell development	 1
N-acyltransferase activity	 12
cytokinesis checkpoint	 1
tryptophan metabolic process	 27
organellar small ribosomal subunit	 1
negative regulation of fibroblast proliferation	 1
regulation of cGMP metabolic process	 2
hatching	 5
pantoate-beta-alanine ligase activity	 2
urea metabolic process	 14
7-dehydrocholesterol reductase activity	 3
adenosylmethionine decarboxylase activity	 2
DNA catabolic process, endonucleolytic	 1
germ-line cyst formation	 4
tumor necrosis factor-activated receptor activity	 1
SUMO ligase activity	 4
neuromuscular process controlling balance	 23
prostaglandin-endoperoxide synthase activity	 6
osteoblast development	 11
tyrosine phosphorylation of STAT protein	 2
establishment of apical/basal cell polarity	 1
positive regulation of cell death	 7
I-kappaB/NF-kappaB complex	 4
regulation of cAMP metabolic process	 5
vitamin D3 25-hydroxylase activity	 1
steroid dehydrogenase activity	 1
cellularization	 5
inorganic anion transmembrane transporter activity	 17
3-isopropylmalate dehydratase activity	 25
positive regulation of salicylic acid mediated signaling pathway	 1
protein methylation	 42
serotonin biosynthetic process	 1
protein polyubiquitination	 44
hair follicle maturation	 1
calcium, potassium:sodium antiporter activity	 5
compound eye photoreceptor development	 5
ruffle	 49
response to amine stimulus	 6
regulation of kidney size	 5
catecholamine secretion	 1
alcohol sulfotransferase activity	 1
smooth muscle cell migration	 3
photoreceptor inner segment	 10
lipoyl(octanoyl) transferase activity	 2
phosphoglycolate phosphatase activity	 17
acetyl-CoA catabolic process	 3
astral microtubule organization	 4
chromatin DNA binding	 14
phosphatidylcholine biosynthetic process	 3
ferredoxin-NAD+ reductase activity	 6
negative regulation of lymphocyte activation	 1
striated muscle tissue development	 1
nitric-oxide synthase binding	 4
mRNA splicing, via spliceosome	 134
melanosome transport	 21
proline biosynthetic process	 39
negative regulation of Wnt receptor signaling pathway	 56
rRNA (uridine-2'-O-)-methyltransferase activity	 8
photosystem II repair	 3
D-xylose metabolic process	 5
glutamate dehydrogenase (NAD+) activity	 19
cellular response to vitamin D	 1
platelet-derived growth factor beta-receptor activity	 1
tangential migration from the subventricular zone to the olfactory bulb	 7
regulation of dopamine metabolic process	 1
cellular response to amino acid starvation	 1
PDZ domain binding	 35
microglial cell activation involved in immune response	 8
3,8-divinyl protochlorophyllide a 8-vinyl reductase activity	 1
myosin filament assembly	 10
extrinsic to internal side of plasma membrane	 18
dipeptidyl-peptidase activity	 20
protein localization to chromosome, centromeric region	 1
protein stabilization	 31
RNA polymerase II transcription elongation factor activity	 2
germinal center B cell differentiation	 1
F-actin capping protein complex	 3
dermatan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process	 2
peroxisome degradation	 1
negative regulation of tyrosine phosphorylation of Stat3 protein	 6
apoptosome	 2
production of miRNAs involved in gene silencing by miRNA	 2
integral to nuclear inner membrane	 2
tartronate O-hydroxycinnamoyltransferase activity	 2
uridine kinase activity	 6
iron ion transport	 16
female gamete generation	 5
dATP catabolic process	 1
protein kinase binding	 210
pollen tube development	 1
starch catabolic process	 7
endocytosis	 95
4-hydroxy-tetrahydrodipicolinate synthase	 16
epsilon DNA polymerase complex	 1
polar nucleus fusion	 1
meristem development	 1
cytokine secretion	 6
2-methylcitrate dehydratase activity	 8
negative regulation of chromatin silencing at rDNA	 1
rRNA (pseudouridine-N3-)-methyltransferase activity	 1
negative regulation of female receptivity, post-mating	 1
metamorphosis	 3
barrier septum assembly	 51
reduction of cytosolic calcium ion concentration	 3
histone H3-K9 demethylation	 1
negative regulation of MAPK cascade	 13
regulation of exit from mitosis	 5
lipid transporter activity	 20
regulation of RNA stability	 7
tetrapyrrole biosynthetic process	 46
glycolipid transporter activity	 9
pollen sperm cell differentiation	 1
negative regulation of protein dephosphorylation	 5
melanin biosynthetic process from tyrosine	 3
fungiform papilla formation	 2
sulfate transmembrane-transporting ATPase activity	 24
fusome organization	 6
protein N-linked glycosylation via asparagine	 18
negative regulation of heart contraction	 7
cell fate commitment	 13
negative regulation of T cell mediated cytotoxicity	 3
cyclin-dependent protein kinase 5 holoenzyme complex	 2
vesicle transport along microtubule	 3
negative regulation of ERK1 and ERK2 cascade	 6
vasculogenesis	 28
polysaccharide binding	 444
polysome	 9
synaptobrevin 2-SNAP-25-syntaxin-1a complex	 1
glycine-tRNA ligase activity	 22
coenzyme A catabolic process	 1
proteinaceous extracellular matrix	 350
peptidyl-threonine phosphorylation	 9
positive regulation of protein catabolic process	 13
centrosome organization	 11
DNA replication factor A complex	 13
cotranslational protein targeting to membrane	 1
negative regulation of type I interferon-mediated signaling pathway	 10
beta-N-acetylglucosaminidase activity	 1
phosphatidylinositol-3-phosphate binding	 4
[acyl-carrier-protein] S-malonyltransferase activity	 98
protein domain specific binding	 153
protein geranylgeranylation	 2
guanylate cyclase activator activity	 2
creatininase activity	 2
hemocyte differentiation	 1
indole-3-acetaldehyde reductase (NADH) activity	 1
induction of apoptosis in response to chemical stimulus	 3
queuine tRNA-ribosyltransferase activity	 8
perichromatin fibrils	 1
L-cysteine metabolic process	 3
polyphosphate catabolic process	 2
cyclomaltodextrinase activity	 1
cyclin binding	 9
positive regulation of phagocytosis	 18
vitamin D response element binding	 3
angiotensin maturation	 1
negative regulation of type I interferon production	 64
response to ethylene stimulus	 5
amine N-methyltransferase activity	 2
female germline ring canal outer rim	 2
protein storage vacuole	 2
positive regulation of cell migration	 48
carbohydrate phosphatase activity	 2
head involution	 8
crossover junction endodeoxyribonuclease activity	 3
asymmetric synapse	 2
tyrosine phosphorylation of Stat1 protein	 1
regulation of receptor recycling	 1
glutamate decarboxylase activity	 4
sulfation	 1
developmental pigmentation	 5
carbohydrate transport	 281
neural tube closure	 43
regulation of DNA damage checkpoint	 2
protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine	 1
cell body	 3
chlorophyll synthetase activity	 2
S-adenosyl-L-methionine transmembrane transporter activity	 1
peptide-methionine (S)-S-oxide reductase activity	 70
Set1C/COMPASS complex	 2
cAMP response element binding protein binding	 3
positive regulation of glycolysis	 2
regulation of triglyceride metabolic process	 1
isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway	 12
cell leading edge	 14
spindle microtubule	 46
satellite cell maintenance involved in skeletal muscle regeneration	 1
female pronucleus	 1
regulation of endocytosis	 9
acetylcholinesterase activity	 1
hemocyte migration	 3
cyclic nucleotide metabolic process	 5
positive regulation of mitosis	 23
positive regulation of circadian rhythm	 3
positive regulation of fibroblast growth factor receptor signaling pathway	 4
drug catabolic process	 3
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	 9
apical constriction	 1
methionine synthase activity	 30
telomeric RNA binding	 1
positive regulation of cAMP biosynthetic process	 3
horsetail-astral microtubule organization	 1
general RNA polymerase II transcription factor activity	 1
D-octopine dehydrogenase activity	 6
malate metabolic process	 40
tricarboxylic acid transport	 1
apolipoprotein B mRNA editing enzyme complex	 1
negative regulation of inflammatory response	 3
peptidyl-arginine N-methylation	 3
beta-endorphin binding	 4
positive regulation of flower development	 3
positive regulation of membrane potential	 1
carbon dioxide transport	 2
negative regulation of peptidyl-threonine phosphorylation	 5
chromosome, telomeric region	 22
deoxyribonucleotide biosynthetic process	 4
negative regulation of histone methylation	 1
JUN kinase phosphatase activity	 2
regulation of cellular process	 2
calcium-dependent protein kinase regulator activity	 1
carbon-monoxide dehydrogenase (acceptor) activity	 50
trans-Golgi network transport vesicle	 5
NAPE-specific phospholipase D activity	 2
interleukin-2 secretion	 1
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	 10
CCR2 chemokine receptor binding	 1
epidermis morphogenesis	 2
ribosomal small subunit assembly	 13
type I protein secretion system complex	 4
TAP2 binding	 2
2-isopropylmalate synthase activity	 24
positive regulation of phosphoprotein phosphatase activity	 1
cellular response to dexamethasone stimulus	 4
posterior head segmentation	 2
diadenosine tetraphosphate biosynthetic process	 3
nonassociative learning	 2
diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	 7
phospholipid-translocating ATPase activity	 40
maturation of SSU-rRNA	 2
post-embryonic development	 33
5'-3' exonuclease activity	 46
glucan 1,4-beta-glucosidase activity	 2
nuclear polyadenylation-dependent mRNA catabolic process	 1
NAD metabolic process	 6
positive regulation of blood pressure	 4
semaphorin receptor complex	 1
cation-transporting ATPase activity	 1
spectrin-associated cytoskeleton	 6
regulation of striated muscle contraction	 7
phagosome acidification involved in apoptotic cell clearance	 1
neutrophil chemotaxis	 2
lateral loop	 2
cytoskeletal adaptor activity	 10
positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria	 1
positive regulation of cell division	 7
second spliceosomal transesterification activity	 2
growth plate cartilage development	 1
response to nicotine	 12
BRCA1-BARD1 complex	 4
phosphoserine binding	 12
regulation of systemic arterial blood pressure by ischemic conditions	 1
common-partner SMAD protein phosphorylation	 6
efflux transmembrane transporter activity	 9
actin cap	 2
intracellular membrane-bounded organelle	 149
vasculature development	 15
tropomyosin binding	 5
ornithine metabolic process	 9
phosphate ion transmembrane-transporting ATPase activity	 26
L-ascorbic acid metabolic process	 4
nucleosome	 92
toll-like receptor 2 signaling pathway	 60
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	 16
S-(hydroxymethyl)glutathione dehydrogenase activity	 19
peptide:hydrogen symporter activity	 11
protein phosphatase type 2A complex	 17
protein-DNA covalent cross-linking	 1
adult feeding behavior	 1
sucrose transmembrane transporter activity	 1
membrane to membrane docking	 7
regulation of triglyceride biosynthetic process	 1
taurine transport	 29
adult walking behavior	 14
advanced glycation end-product receptor activity	 1
regulation of centromeric sister chromatid cohesion	 2
astral microtubule	 9
negative regulation of protein serine/threonine kinase activity	 25
intrinsic to endoplasmic reticulum membrane	 40
regulation of translational initiation by iron	 1
positive regulation of gamma-aminobutyric acid secretion	 2
positive transcription elongation factor activity	 2
sulfite reductase complex (NADPH)	 4
(1->3)-beta-D-glucan biosynthetic process	 32
glutamate synthase (NADPH) activity	 68
negative regulation of cardiac muscle cell proliferation	 1
cyclosporin A binding	 5
cobalt ion transmembrane transporter activity	 2
double-strand break repair via break-induced replication	 1
cytosolic small ribosomal subunit	 87
vinculin binding	 12
cellular ketone body metabolic process	 4
negative regulation of negative chemotaxis	 3
oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor	 1
ovarian follicle cell development	 13
intracellular ligand-gated calcium channel activity	 5
guanylate cyclase activity	 55
neural plate development	 5
proximal/distal pattern formation	 17
spinal cord development	 16
erythritol kinase activity	 2
m7G(5')pppN diphosphatase activity	 2
pyridoxal 4-dehydrogenase activity	 1
axis elongation	 8
seed coat development	 2
germarium-derived female germ-line cyst encapsulation	 3
histone H2A ubiquitination	 2
response to calcium ion	 100
oxaloacetate metabolic process	 10
(R)-2-hydroxyacid dehydrogenase activity	 3
intramolecular transferase activity, transferring amino groups	 1
photoreceptor cell morphogenesis	 2
succinyldiaminopimelate transaminase activity	 3
6-methylsalicylic acid synthase activity	 13
glutamine metabolic process	 122
adult somatic muscle development	 1
protein deubiquitination	 21
lipopolysaccharide binding	 14
embryonic axis specification	 5
gamma-aminobutyric acid catabolic process	 2
oogenesis	 58
glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity	 3
pigment granule organization	 1
tricarboxylic acid transmembrane transport	 3
blastocyst development	 17
poly(ADP-ribose) glycohydrolase activity	 6
cell fate specification	 30
Elongator holoenzyme complex	 1
regulation of DNA-dependent DNA replication initiation	 2
glycoprotein catabolic process	 9
associative learning	 10
establishment of pole plasm mRNA localization	 1
regulation of ossification	 2
instar larval development	 9
single-stranded DNA specific endodeoxyribonuclease activity	 5
3-mercaptopyruvate sulfurtransferase activity	 9
3-carboxy-cis,cis-muconate cycloisomerase activity	 4
cytoplasmic stress granule	 13
nuclear-transcribed mRNA catabolic process, exonucleolytic	 5
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor	 3
detection of triacyl bacterial lipopeptide	 3
actin filament depolymerization	 5
ubiquinone binding	 1
regulation of peptidyl-serine phosphorylation of STAT protein	 2
regulation of oxidative phosphorylation	 1
CoA-transferase activity	 47
establishment of organ orientation	 1
protein dimerization activity	 252
xenobiotic catabolic process	 6
3-methyl-2-oxobutanoate hydroxymethyltransferase activity	 12
imaginal disc-derived wing hair outgrowth	 2
maleylacetoacetate isomerase activity	 2
gene silencing by miRNA	 4
muconate cycloisomerase activity	 3
glycerate dehydrogenase activity	 5
osteoclast differentiation	 7
xylan catabolic process	 12
ubiquitin-protein ligase activity	 823
pyrroloquinoline quinone biosynthetic process	 2
GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity	 3
uropod organization	 1
choline-sulfatase activity	 8
insoluble fraction	 55
negative regulation of cytokine-mediated signaling pathway	 20
negative regulation of leucine import in response to ammonium ion	 1
nucleoside triphosphate adenylate kinase activity	 1
negative regulation of blood coagulation	 1
acyl carnitine transmembrane transporter activity	 3
negative regulation of keratinocyte proliferation	 6
RNA splicing, via transesterification reactions	 19
glutathione synthase activity	 11
T cell homeostasis	 7
transsulfuration	 1
protein N-linked glycosylation	 20
mitochondrial membrane	 37
ventral spinal cord interneuron specification	 2
dihydropyrimidinase activity	 6
clathrin-coated endocytic vesicle membrane	 4
UDP-glucuronate 5'-epimerase activity	 4
cytosolic ribosome	 21
regulation of centrosome duplication	 2
L-lysine catabolic process	 2
apical plasma membrane	 131
regulation of cytokine-mediated signaling pathway	 1
Barr body	 5
mitochondrial transport	 26
helicase activity	 1104
salivary gland morphogenesis	 12
ATPase binding	 12
symbiont intracellular protein transport in host	 2
ubiquinol-cytochrome-c reductase activity	 28
specification of carpel identity	 1
acetylcholine receptor regulator activity	 2
L-valine transaminase activity	 26
lignin biosynthetic process	 1
flight	 1
diaminopimelate biosynthetic process	 32
translation activator activity	 15
3-oxoadipate enol-lactonase activity	 2
DNA-directed RNA polymerase I complex	 5
response to drug	 183
pharynx development	 2
activation of Ral GTPase activity	 4
positive regulation of stress-activated protein kinase signaling cascade	 2
transcription factor complex	 55
histone H3-K4 demethylation	 2
positive regulation of gene expression	 39
growth cone	 44
site-specific DNA-methyltransferase (adenine-specific) activity	 124
positive regulation of T-helper cell differentiation	 1
arachidonate 15-lipoxygenase activity	 2
thiosulfate transport	 1
endoplasmic reticulum-Golgi intermediate compartment membrane	 6
behavior	 6
endopeptidase activator activity	 3
trehalose transport	 6
basal part of cell	 2
calcium sensitive guanylate cyclase activator activity	 4
mitochondrial proton-transporting ATP synthase complex	 10
nucleoside binding	 10
bis(5'-adenosyl)-triphosphatase activity	 1
cysteine-type endopeptidase activator activity involved in apoptotic process	 21
zonula adherens assembly	 5
sucrose alpha-glucosidase activity	 1
negative regulation of protein tyrosine kinase activity	 19
protein ubiquitination	 772
trichome morphogenesis	 2
negative regulation of lipoprotein metabolic process	 3
negative regulation of actin filament polymerization	 1
negative regulation of protein binding	 2
positive regulation of gamma-delta T cell activation	 4
regulation of epithelial cell proliferation	 5
isoamylase activity	 5
galactosyltransferase activity	 35
histone acetyltransferase binding	 2
trans-hexaprenyltranstransferase activity	 2
root epidermal cell differentiation	 2
heme binding	 656
positive regulation of skeletal muscle cell proliferation	 1
inosine biosynthetic process	 1
positive regulation of striated muscle cell differentiation	 1
hydroxymethylglutaryl-CoA synthase activity	 7
ephrin receptor binding	 5
U6 snRNP	 2
ventricular cardiac muscle cell differentiation	 1
negative regulation of cGMP-mediated signaling	 1
locomotion	 117
retrograde protein transport, ER to cytosol	 7
regulation of growth rate	 6
protein-DNA complex	 3
negative regulation of interleukin-23 production	 5
lymphocyte migration	 1
sphingosine metabolic process	 1
Schwann cell development	 2
response to lithium ion	 2
glutamate secretion	 6
'de novo' pyrimidine nucleobase biosynthetic process	 26
S-adenosylhomocysteine catabolic process	 1
urea cycle	 3
anatomical structure morphogenesis	 13
spinal cord motor neuron differentiation	 11
procollagen-proline 4-dioxygenase complex	 1
ESCRT III complex	 2
alcohol dehydrogenase (acceptor) activity	 26
arachidonate 8-lipoxygenase activity	 5
regulation of tube diameter, open tracheal system	 1
compound eye development	 26
lipoprotein particle receptor binding	 7
alanine catabolic process	 1
gamma-glutamyltransferase activity	 43
unidimensional cell growth	 13
ion channel binding	 13
cystoblast division	 2
lipid A biosynthetic process	 41
poly(A)+ mRNA export from nucleus	 2
bradykinin catabolic process	 4
heparanase activity	 1
CVT vesicle membrane	 4
monodehydroascorbate reductase (NADH) activity	 1
pyridine N-methyltransferase activity	 1
protein-tyrosine sulfotransferase activity	 60
neurotransmitter transport	 6
protein homotrimerization	 16
epinephrine metabolic process	 1
metanephric glomerular basement membrane development	 1
arginine deiminase activity	 1
strictosidine synthase activity	 1
regulation of neurogenesis	 9
viral envelope	 5
negative regulation of interleukin-6 biosynthetic process	 18
dihydropyrimidine dehydrogenase (NADP+) activity	 3
positive regulation of phospholipase activity	 1
acetaldehyde dehydrogenase (acetylating) activity	 11
maintenance of fidelity involved in DNA-dependent DNA replication	 1
axon terminus	 11
phospholipase C-activating dopamine receptor signaling pathway	 1
long-term strengthening of neuromuscular junction	 5
organic cation transport	 3
cardiac left ventricle morphogenesis	 1
response to alkaloid	 1
telomeric template RNA reverse transcriptase activity	 2
regulation of synaptic plasticity	 7
nicotinate nucleotide salvage	 1
negative regulation of reciprocal meiotic recombination	 2
retinyl-palmitate esterase activity	 1
phosphatidylinositol 3-kinase regulator activity	 3
proximal convoluted tubule development	 6
bone development	 13
