KEGG Pathways	Number of Occurences
"(Glycine, serine and threonine metabolism (map00260), S-methyltransferase (ec:2.1.1.5))"	2
"(Cysteine and methionine metabolism (map00270), gamma-synthase (ec:2.5.1.48))"	2
"(Alanine, aspartate and glutamate metabolism (map00250), dehydrogenase (ec:1.5.1.12))"	2
"(Steroid hormone biosynthesis (map00140), dehydrogenase (ec:1.1.1.145))"	2
"(Folate biosynthesis (map00790), synthase (ec:4.2.3.12))"	2
"(Cysteine and methionine metabolism (map00270), ammonia-lyase (ec:4.3.1.17))"	2
"(Histidine metabolism (map00340), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(Pyrimidine metabolism (map00240), phosphorylase (ec:2.4.2.1))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), uridylyltransferase (ec:2.7.7.44))"	2
"(Starch and sucrose metabolism (map00500), 1,4-beta-xylosidase (ec:3.2.1.37))"	2
"(Inositol phosphate metabolism (map00562), 2-dehydrogenase (ec:1.1.1.18))"	2
"(Pyrimidine metabolism (map00240), phosphorylase (ec:2.4.2.2))"	2
"(beta-Alanine metabolism (map00410), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), hexosaminidase (ec:3.2.1.52))"	2
"(Arginine and proline metabolism (map00330), creatinine hydrolase (ec:3.5.2.10))"	2
"(Aminobenzoate degradation (map00627), acetylphosphatase (ec:3.6.1.7))"	2
"(Pyruvate metabolism (map00620), dehydrogenase (oxaloacetate-decarboxylating) (ec:1.1.1.38))"	2
"(Arginine and proline metabolism (map00330), dehydrogenase (ec:1.5.1.12))"	2
"(Cysteine and methionine metabolism (map00270), S-methyltransferase (ec:2.1.1.5))"	2
"(Lysine biosynthesis (map00300), dehydrogenase (ec:1.2.1.31))"	2
"(Valine, leucine and isoleucine degradation (map00280), lyase (ec:4.1.3.4))"	2
"(Drug metabolism - cytochrome P450 (map00982), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(Lipoic acid metabolism (map00785), transferase (ec:2.3.1.181))"	2
"(Drug metabolism - other enzymes (map00983), phosphoribosyltransferase (ec:2.4.2.8))"	2
"(Glyoxylate and dicarboxylate metabolism (map00630), dehydrogenase (ec:1.1.1.29))"	2
"(Primary bile acid biosynthesis (map00120), racemase (ec:5.1.99.4))"	2
"(Sphingolipid metabolism (map00600), cerebroside galactosidase (ec:3.2.1.46))"	2
"(Tryptophan metabolism (map00380), hydratase (ec:4.2.1.84))"	2
"(Glycosphingolipid biosynthesis - globo series (map00603), hexosaminidase (ec:3.2.1.52))"	2
"(Fructose and mannose metabolism (map00051), 2-dehydrogenase (ec:1.1.1.14))"	2
"(Glycerophospholipid metabolism (map00564), phosphodiesterase (ec:3.1.4.2))"	2
"(Biosynthesis of unsaturated fatty acids (map01040), dehydrogenase (ec:1.1.1.211))"	2
"(Nicotinate and nicotinamide metabolism (map00760), synthase (ec:6.3.1.5))"	2
"(Porphyrin and chlorophyll metabolism (map00860), dehydrogenase (ec:1.3.99.22))"	2
"(Carbon fixation pathways in prokaryotes (map00720), carboxylase (ec:4.1.1.31))"	2
"(Steroid degradation (map00984), dehydrogenase (ec:1.1.1.145))"	2
"(Galactose metabolism (map00052), glucokinase (phosphorylating) (ec:2.7.1.2))"	2
"(Sulfur metabolism (map00920), gamma-synthase (ec:2.5.1.48))"	2
"(Pyruvate metabolism (map00620), carboxylase (ec:4.1.1.31))"	2
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.1.1.29))"	2
"(Terpenoid backbone biosynthesis (map00900), synthase (ec:2.3.3.10))"	2
"(Synthesis and degradation of ketone bodies (map00072), lyase (ec:4.1.3.4))"	2
"(Glycerophospholipid metabolism (map00564), O-phosphatidyltransferase (ec:2.7.8.8))"	2
"(Butanoate metabolism (map00650), dehydrogenase (ec:1.1.1.61))"	2
"(Flavonoid biosynthesis (map00941), 4-reductase (ec:1.1.1.219))"	2
"(Tyrosine metabolism (map00350), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(Glyoxylate and dicarboxylate metabolism (map00630), oxidase (ec:1.2.3.5))"	2
"(Glycolysis / Gluconeogenesis (map00010), dehydrogenase [NAD(P)+] (ec:1.2.1.5))"	2
"(Porphyrin and chlorophyll metabolism (map00860), cobaltochelatase (ec:4.99.1.3))"	2
"(Inositol phosphate metabolism (map00562), 5-phosphatase (ec:3.1.3.56))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), uridylyltransferase (ec:2.7.7.12))"	2
"(Glyoxylate and dicarboxylate metabolism (map00630), epimerase (ec:5.1.99.1))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), uridylyltransferase (ec:2.7.7.10))"	2
"(Starch and sucrose metabolism (map00500), limit dextrinase (erroneous) (ec:3.2.1.10))"	2
"(Pentose phosphate pathway (map00030), 2-dehydrogenase (ec:1.1.1.215))"	2
"(Cysteine and methionine metabolism (map00270), gamma-lyase (ec:4.4.1.1))"	2
"(Glycerophospholipid metabolism (map00564), phosphodiesterase (ec:3.1.4.46))"	2
"(Methane metabolism (map00680), carboxylase (ec:4.1.1.31))"	2
"(Glycerolipid metabolism (map00561), lipase (ec:3.1.1.23))"	2
"(Butirosin and neomycin biosynthesis (map00524), glucokinase (phosphorylating) (ec:2.7.1.2))"	2
"(Valine, leucine and isoleucine degradation (map00280), epimerase (ec:5.1.99.1))"	2
"(Polyketide sugar unit biosynthesis (map00523), transaminase (ec:2.6.1.33))"	2
"(Pentose phosphate pathway (map00030), phosphogluconolactonase (ec:3.1.1.31))"	2
"(Carbon fixation in photosynthetic organisms (map00710), carboxylase (ec:4.1.1.31))"	2
"(Diterpenoid biosynthesis (map00904), synthase (ec:4.2.3.28))"	2
"(Valine, leucine and isoleucine degradation (map00280), hydrolase (ec:3.1.2.4))"	2
"(Galactose metabolism (map00052), limit dextrinase (erroneous) (ec:3.2.1.10))"	2
"(Geraniol degradation (map00281), lyase (ec:4.1.3.4))"	2
"(Glycine, serine and threonine metabolism (map00260), O-phosphatidyltransferase (ec:2.7.8.8))"	2
"(Drug metabolism - other enzymes (map00983), phosphorylase (ec:2.4.2.4))"	2
"(Aminobenzoate degradation (map00627), hydratase (ec:4.2.1.84))"	2
"(Riboflavin metabolism (map00740), reductase (ec:1.1.1.193))"	2
"(Purine metabolism (map00230), phosphorylase (ec:2.4.2.1))"	2
"(Alanine, aspartate and glutamate metabolism (map00250), ammonia-lyase (ec:4.3.1.1))"	2
"(Glycerophospholipid metabolism (map00564), dehydrogenase (NAD+) (ec:1.1.1.8))"	2
"(Streptomycin biosynthesis (map00521), glucokinase (phosphorylating) (ec:2.7.1.2))"	2
"(Carbon fixation pathways in prokaryotes (map00720), epimerase (ec:5.1.99.1))"	2
"(Pyrimidine metabolism (map00240), phosphorylase (ec:2.4.2.4))"	2
"(Fructose and mannose metabolism (map00051), isomerase (ec:5.3.1.7))"	2
"(Selenocompound metabolism (map00450), gamma-synthase (ec:2.5.1.48))"	2
"(Starch and sucrose metabolism (map00500), synthase (ec:2.4.1.11))"	2
"(Ascorbate and aldarate metabolism (map00053), dehydratase (ec:4.2.1.42))"	2
"(Purine metabolism (map00230), phosphoribosyltransferase (ec:2.4.2.8))"	2
"(Phosphatidylinositol signaling system (map04070), 5-phosphatase (ec:3.1.3.56))"	2
"(Aminobenzoate degradation (map00627), monooxygenase (ec:1.14.13.82))"	2
"(Glycosaminoglycan degradation (map00531), hexosaminidase (ec:3.2.1.52))"	2
"(Lysine degradation (map00310), dehydrogenase (ec:1.2.1.31))"	2
"(Glycolysis / Gluconeogenesis (map00010), glucokinase (phosphorylating) (ec:2.7.1.2))"	2
"(Purine metabolism (map00230), deoxy-GTPase (ec:3.1.5.1))"	2
"(Nitrogen metabolism (map00910), dehydratase (ec:4.2.1.1))"	2
"(Styrene degradation (map00643), hydratase (ec:4.2.1.84))"	2
"(Amino sugar and nucleotide sugar metabolism (map00520), glucokinase (phosphorylating) (ec:2.7.1.2))"	2
"(Porphyrin and chlorophyll metabolism (map00860), protoporphyrin IX methyltransferase (ec:2.1.1.11))"	1
"(Starch and sucrose metabolism (map00500), synthase (ec:2.4.1.34))"	1
"(Peptidoglycan biosynthesis (map00550), beta-N-acetylglucosaminyltransferase (ec:2.4.1.227))"	1
"(Butanoate metabolism (map00650), dehydrogenase (ec:1.1.99.2))"	1
"(Chlorocyclohexane and chlorobenzene degradation (map00361), cycloisomerase (ec:5.5.1.1))"	1
"(Pyrimidine metabolism (map00240), diphosphate phosphatase (ec:3.6.1.6))"	1
"(Purine metabolism (map00230), deaminase (ec:3.5.4.2))"	1
"(Glycosaminoglycan degradation (map00531), chondroitin sulfatase (ec:3.1.6.4))"	1
"(Steroid degradation (map00984), 4-dehydrogenase (acceptor) (ec:1.3.99.5))"	1
"(Pantothenate and CoA biosynthesis (map00770), adenylyltransferase (ec:2.7.7.3))"	1
"(Inositol phosphate metabolism (map00562), inositol-1,3-bisphosphate 3-phosphatase (ec:3.1.3.64))"	1
"(Tyrosine metabolism (map00350), decarboxylase (ec:4.1.1.80))"	1
"(Phosphatidylinositol signaling system (map04070), 5-phosphatase (ec:3.1.3.36))"	1
"(Mucin type O-Glycan biosynthesis (map00512), N-acetylgalactosaminyltransferase (ec:2.4.1.41))"	1
"(Glutathione metabolism (map00480), peroxidase (ec:1.11.1.9))"	1
"(Arachidonic acid metabolism (map00590), 15-lipoxygenase (ec:1.13.11.33))"	1
"(Pyrimidine metabolism (map00240), deaminase (ec:3.5.4.5))"	1
"(Phosphatidylinositol signaling system (map04070), 3-kinase (ec:2.7.1.154))"	1
"(Purine metabolism (map00230), dinucleosidetriphosphatase (ec:3.6.1.29))"	1
"(Glycosaminoglycan degradation (map00531), chondroitinsulfatase (ec:3.1.6.13))"	1
"(Glycerolipid metabolism (map00561), O-acyltransferase (ec:2.3.1.22))"	1
"(Fatty acid elongation (map00062), hydratase (ec:4.2.1.74))"	1
"(Monoterpenoid biosynthesis (map00902), synthase (ec:4.2.3.15))"	1
"(Phenylalanine metabolism (map00360), decarboxylase (ec:4.1.1.28))"	1
"(Various types of N-glycan biosynthesis (map00513), 2-beta-N-acetylglucosaminyltransferase (ec:2.4.1.101))"	1
"(Glyoxylate and dicarboxylate metabolism (map00630), deformylase (ec:3.5.1.68))"	1
"(Glycerolipid metabolism (map00561), O-acyltransferase (ec:2.3.1.20))"	1
"(Glycerolipid metabolism (map00561), synthase (ec:2.4.1.241))"	1
"(Toluene degradation (map00623), cycloisomerase (ec:5.5.1.1))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), 4-epimerase (ec:5.1.3.6))"	1
"(Riboflavin metabolism (map00740), synthase (ec:4.1.99.12))"	1
"(Tryptophan metabolism (map00380), reductase (NADH) (ec:1.1.1.190))"	1
"(Isoquinoline alkaloid biosynthesis (map00950), decarboxylase (ec:4.1.1.80))"	1
"(Polyketide sugar unit biosynthesis (map00523), 4,6-dehydratase (ec:4.2.1.46))"	1
"(Selenocompound metabolism (map00450), gamma-lyase (ec:4.4.1.11))"	1
"(Other glycan degradation (map00511), mannanase (ec:3.2.1.25))"	1
"(Ascorbate and aldarate metabolism (map00053), phosphotransferase (ec:2.7.1.69))"	1
"(Novobiocin biosynthesis (map00401), dehydrogenase (ec:1.3.1.43))"	1
"(Retinol metabolism (map00830), 1-monooxygenase (ec:1.14.15.3))"	1
"(Terpenoid backbone biosynthesis (map00900), diphosphate synthase (ec:2.5.1.29))"	1
"(Inositol phosphate metabolism (map00562), oxygenase (ec:1.13.99.1))"	1
"(Glyoxylate and dicarboxylate metabolism (map00630), lyase (ec:4.1.3.24))"	1
"(Inositol phosphate metabolism (map00562), 5-kinase (ec:2.7.1.150))"	1
"(Butanoate metabolism (map00650), decarboxylase (ec:4.1.1.15))"	1
"(Tyrosine metabolism (map00350), decarboxylase (ec:4.1.1.28))"	1
"(Folate biosynthesis (map00790), hydrolase (ec:3.4.19.9))"	1
"(Glycine, serine and threonine metabolism (map00260), racemase (ec:5.1.1.10))"	1
"(Fructose and mannose metabolism (map00051), dehydrogenase (acceptor) (ec:1.1.99.21))"	1
"(Methane metabolism (map00680), F420 hydrogenase (ec:1.12.98.1))"	1
"(beta-Alanine metabolism (map00410), decarboxylase (ec:4.1.1.15))"	1
"(Sphingolipid metabolism (map00600), kinase (ec:2.7.1.91))"	1
"(Terpenoid backbone biosynthesis (map00900), 4-phosphate cytidylyltransferase (ec:2.7.7.60))"	1
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (NAD+) (ec:1.1.1.41))"	1
"(Arachidonic acid metabolism (map00590), synthase (ec:5.3.99.5))"	1
"(Arginine and proline metabolism (map00330), deaminase (ec:3.5.4.1))"	1
"(Glycerophospholipid metabolism (map00564), N-methyltransferase (ec:2.1.1.71))"	1
"(Terpenoid backbone biosynthesis (map00900), reductase (NADPH) (ec:1.1.1.34))"	1
"(Glycerophospholipid metabolism (map00564), dehydrogenase (ec:1.1.1.261))"	1
"(Pyrimidine metabolism (map00240), nucleosidase (ec:3.2.2.8))"	1
"(Steroid biosynthesis (map00100), 3-dehydrogenase (decarboxylating) (ec:1.1.1.170))"	1
"(Arginine and proline metabolism (map00330), aminotransferase (ec:2.6.1.13))"	1
"(Nicotinate and nicotinamide metabolism (map00760), nicotinamide deaminase (ec:3.5.1.19))"	1
"(Cysteine and methionine metabolism (map00270), 1-phosphate dehydratase (ec:4.2.1.109))"	1
"(Porphyrin and chlorophyll metabolism (map00860), synthase (ec:2.5.1.62))"	1
"(Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate (map00532), 4-beta-N-acetylgalactosaminyltransferase (ec:2.4.1.175))"	1
"(Cysteine and methionine metabolism (map00270), isomerase (ec:5.3.1.23))"	1
"(Pentose and glucuronate interconversions (map00040), reductase (ec:1.1.1.19))"	1
"(Purine metabolism (map00230), nucleosidase (ec:3.2.2.8))"	1
"(Benzoate degradation (map00362), cycloisomerase (ec:5.5.1.1))"	1
"(Galactose metabolism (map00052), oxidase (ec:1.1.3.9))"	1
"(Inositol phosphate metabolism (map00562), 5-phosphatase (ec:3.1.3.36))"	1
"(Taurine and hypotaurine metabolism (map00430), decarboxylase (ec:4.1.1.15))"	1
"(Primary bile acid biosynthesis (map00120), hydratase (ec:4.2.1.107))"	1
"(Pantothenate and CoA biosynthesis (map00770), synthase (ec:2.7.8.7))"	1
"(Methane metabolism (map00680), synthase (ec:1.2.7.1))"	1
"(Carbon fixation pathways in prokaryotes (map00720), synthase (ec:1.2.7.1))"	1
"(Peptidoglycan biosynthesis (map00550), ligase (ec:6.3.2.13))"	1
"(Folate biosynthesis (map00790), synthase (ec:2.5.1.15))"	1
"(Terpenoid backbone biosynthesis (map00900), farnesyltransferase (ec:2.5.1.58))"	1
"(Thiamine metabolism (map00730), kinase (ec:2.7.1.49))"	1
"(Various types of N-glycan biosynthesis (map00513), 4-beta-N-acetylglucosaminyltransferase (ec:2.4.1.145))"	1
"(Purine metabolism (map00230), formyltransferase (ec:2.1.2.2))"	1
"(Indole alkaloid biosynthesis (map00901), decarboxylase (ec:4.1.1.28))"	1
"(Betalain biosynthesis (map00965), decarboxylase (ec:4.1.1.28))"	1
"(Carotenoid biosynthesis (map00906), de-epoxidase (ec:1.10.99.3))"	1
"(beta-Alanine metabolism (map00410), oxidase (ec:1.4.3.21))"	1
"(Ascorbate and aldarate metabolism (map00053), reductase (ec:1.1.1.19))"	1
"(Valine, leucine and isoleucine biosynthesis (map00290), ammonia-lyase (ec:4.3.1.19))"	1
"(Glycosaminoglycan biosynthesis - heparan sulfate / heparin (map00534), 4-beta-glucuronosyltransferase (ec:2.4.1.225))"	1
"(Glycerophospholipid metabolism (map00564), cytidylyltransferase (ec:2.7.7.41))"	1
"(Purine metabolism (map00230), deaminase (ec:3.5.4.4))"	1
"(Nicotinate and nicotinamide metabolism (map00760), kinase (ec:2.7.1.23))"	1
"(Aminoacyl-tRNA biosynthesis (map00970), synthase (glutamine-hydrolysing) (ec:6.3.5.6))"	1
"(Methane metabolism (map00680), dehydrogenase (ec:1.12.1.2))"	1
"(N-Glycan biosynthesis (map00510), 4-beta-N-acetylglucosaminyltransferase (ec:2.4.1.145))"	1
"(Starch and sucrose metabolism (map00500), sucrose 6-glucosyltransferase (ec:2.4.1.5))"	1
"(Steroid biosynthesis (map00100), monooxygenase (ec:1.14.13.72))"	1
"(Fructose and mannose metabolism (map00051), isomerase (ec:5.3.1.5))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), phosphotransferase (ec:2.7.1.69))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), phosphotransferase (ec:2.7.1.63))"	1
"(Cysteine and methionine metabolism (map00270), beta-synthase (ec:4.2.1.22))"	1
"(Cysteine and methionine metabolism (map00270), gamma-lyase (ec:4.4.1.11))"	1
"(Synthesis and degradation of ketone bodies (map00072), decarboxylase (ec:4.1.1.4))"	1
"(Folate biosynthesis (map00790), phosphatase (ec:3.1.3.1))"	1
"(Inositol phosphate metabolism (map00562), 6-phytase (name based on 1L-numbering system and not 1D-numbering) (ec:3.1.3.26))"	1
"(Glycerolipid metabolism (map00561), lipase (ec:3.1.1.34))"	1
"(Steroid degradation (map00984), 17)beta-hydroxysteroid dehydrogenase (ec:1.1.1.51))"	1
"(Alanine, aspartate and glutamate metabolism (map00250), decarboxylase (ec:4.1.1.15))"	1
"(Galactose metabolism (map00052), galactokinase (phosphorylating) (ec:2.7.1.6))"	1
"(Carotenoid biosynthesis (map00906), oxidase (ec:1.2.3.14))"	1
"(Glycerophospholipid metabolism (map00564), true cholinesterase (ec:3.1.1.7))"	1
"(Arginine and proline metabolism (map00330), cyclodeaminase (ec:4.3.1.12))"	1
"(Glutathione metabolism (map00480), synthase (ec:2.5.1.22))"	1
"(D-Glutamine and D-glutamate metabolism (map00471), racemase (ec:5.1.1.10))"	1
"(Glycine, serine and threonine metabolism (map00260), oxidase (ec:1.4.3.21))"	1
"(Carbon fixation pathways in prokaryotes (map00720), dehydratase (ec:4.2.1.55))"	1
"(Streptomycin biosynthesis (map00521), reductase (ec:1.1.1.133))"	1
"(Thiamine metabolism (map00730), oxidase (ec:1.4.3.19))"	1
"(Terpenoid backbone biosynthesis (map00900), diphosphate synthase [geranylgeranyl-diphosphate specific] (ec:2.5.1.85))"	1
"(Linoleic acid metabolism (map00591), 15-lipoxygenase (ec:1.13.11.33))"	1
"(Vitamin B6 metabolism (map00750), kinase (ec:2.7.1.35))"	1
"(Purine metabolism (map00230), phosphoribosyltransferase (ec:2.4.2.22))"	1
"(Pantothenate and CoA biosynthesis (map00770), hydrolase (ec:3.5.1.92))"	1
"(Ascorbate and aldarate metabolism (map00053), dehydrogenase (ec:1.3.2.3))"	1
"(Pyrimidine metabolism (map00240), deaminase (ec:3.5.4.12))"	1
"(Tyrosine metabolism (map00350), oxidase (ec:1.4.3.21))"	1
"(Starch and sucrose metabolism (map00500), disproportionating enzyme (ec:2.4.1.25))"	1
"(Phosphatidylinositol signaling system (map04070), inositol-1,3-bisphosphate 3-phosphatase (ec:3.1.3.64))"	1
"(Purine metabolism (map00230), lyase (ec:4.3.2.3))"	1
"(Riboflavin metabolism (map00740), monophenol monooxygenase (ec:1.14.18.1))"	1
"(Starch and sucrose metabolism (map00500), 1,4-alpha-glucosidase (ec:3.2.1.3))"	1
"(Propanoate metabolism (map00640), decarboxylase (ec:4.1.1.4))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), 5'-epimerase (ec:5.1.3.12))"	1
"(Starch and sucrose metabolism (map00500), phosphotransferase (ec:2.7.1.69))"	1
"(Glycolysis / Gluconeogenesis (map00010), phosphotransferase (ec:2.7.1.63))"	1
"(Lysine biosynthesis (map00300), ligase (ec:6.3.2.13))"	1
"(Nicotinate and nicotinamide metabolism (map00760), lyase (ec:4.1.3.32))"	1
"(N-Glycan biosynthesis (map00510), glucosidase (ec:3.2.1.106))"	1
"(Cysteine and methionine metabolism (map00270), racemase (ec:5.1.1.10))"	1
"(Glyoxylate and dicarboxylate metabolism (map00630), reductase (NADP+) (ec:1.1.1.79))"	1
"(Glycosaminoglycan degradation (map00531), chondroitinsulfatase (ec:3.1.6.14))"	1
"(Carbon fixation in photosynthetic organisms (map00710), phosphopentokinase (ec:2.7.1.19))"	1
"(Cutin, suberine and wax biosynthesis (map00073), O-acyltransferase (ec:2.3.1.20))"	1
"(Isoquinoline alkaloid biosynthesis (map00950), oxidase (ec:1.4.3.21))"	1
"(Glyoxylate and dicarboxylate metabolism (map00630), reductase (ec:1.1.1.81))"	1
"(Arginine and proline metabolism (map00330), synthase (ec:2.5.1.22))"	1
"(Methane metabolism (map00680), lyase (ec:4.1.3.24))"	1
"(Methane metabolism (map00680), dehydrogenase (ec:1.5.8.2))"	1
"(Inositol phosphate metabolism (map00562), 3-kinase (ec:2.7.1.137))"	1
"(One carbon pool by folate (map00670), formyltransferase (ec:2.1.2.2))"	1
"(Fructose and mannose metabolism (map00051), 2-dehydrogenase (ec:1.1.1.140))"	1
"(Inositol phosphate metabolism (map00562), 3-kinase (ec:2.7.1.154))"	1
"(Pyrimidine metabolism (map00240), diphosphatase (ec:3.6.1.23))"	1
"(Folate biosynthesis (map00790), lyase (ec:4.1.3.38))"	1
"(Steroid hormone biosynthesis (map00140), 17-dehydrogenase (ec:1.1.1.62))"	1
"(Sulfur metabolism (map00920), reductase (thioredoxin) (ec:1.8.4.8))"	1
"(Glycolysis / Gluconeogenesis (map00010), phosphotransferase (ec:2.7.1.69))"	1
"(Starch and sucrose metabolism (map00500), 1,4-beta-cellobiosidase (non-reducing end) (ec:3.2.1.91))"	1
"(N-Glycan biosynthesis (map00510), 2-beta-N-acetylglucosaminyltransferase (ec:2.4.1.101))"	1
"(Steroid hormone biosynthesis (map00140), 17)beta-hydroxysteroid dehydrogenase (ec:1.1.1.51))"	1
"(Citrate cycle (TCA cycle) (map00020), synthase (ec:1.2.7.1))"	1
"(Phosphatidylinositol signaling system (map04070), 4-kinase (ec:2.7.1.67))"	1
"(Butanoate metabolism (map00650), ligase (ec:6.2.1.16))"	1
"(Glycine, serine and threonine metabolism (map00260), beta-synthase (ec:4.2.1.22))"	1
"(Polycyclic aromatic hydrocarbon degradation (map00624), 3,4-dioxygenase (ec:1.13.11.3))"	1
"(Benzoate degradation (map00362), ligase (ec:6.2.1.25))"	1
"(Arginine and proline metabolism (map00330), reductase (ec:1.2.1.38))"	1
"(Selenocompound metabolism (map00450), water dikinase (ec:2.7.9.3))"	1
"(Polycyclic aromatic hydrocarbon degradation (map00624), 4,5-dioxygenase (ec:1.13.11.8))"	1
"(Pyrimidine metabolism (map00240), dehydrogenase (quinone) (ec:1.3.5.2))"	1
"(Phosphonate and phosphinate metabolism (map00440), mutase (ec:5.4.2.9))"	1
"(Glycerolipid metabolism (map00561), dehydrogenase (ec:1.1.1.202))"	1
"(Other types of O-glycan biosynthesis (map00514), mannosyltransferase (ec:2.4.1.109))"	1
"(Propanoate metabolism (map00640), synthase (ec:1.2.7.1))"	1
"(Nitrotoluene degradation (map00633), synthase (ec:1.2.7.1))"	1
"(Zeatin biosynthesis (map00908), dimethylallyltransferase (ec:2.5.1.75))"	1
"(Lipopolysaccharide biosynthesis (map00540), synthase (ec:2.4.1.182))"	1
"(Benzoate degradation (map00362), 3,4-dioxygenase (ec:1.13.11.3))"	1
"(Cysteine and methionine metabolism (map00270), phosphorylase (ec:2.4.2.28))"	1
"(Pentose phosphate pathway (map00030), phosphotransferase (ec:2.7.1.69))"	1
"(Glyoxylate and dicarboxylate metabolism (map00630), dehydratase (ec:4.2.1.55))"	1
"(Phenylalanine metabolism (map00360), 4-monooxygenase (ec:1.14.16.1))"	1
"(C5-Branched dibasic acid metabolism (map00660), lyase (ec:4.1.3.24))"	1
"(Betalain biosynthesis (map00965), monophenol monooxygenase (ec:1.14.18.1))"	1
"(Pentose and glucuronate interconversions (map00040), reductase (ec:1.1.1.9))"	1
"(Fatty acid metabolism (map00071), 1-monooxygenase (ec:1.14.15.3))"	1
"(Pentose and glucuronate interconversions (map00040), isomerase (ec:5.3.1.5))"	1
"(One carbon pool by folate (map00670), cyclodeaminase (ec:4.3.1.4))"	1
"(Glycolysis / Gluconeogenesis (map00010), synthase (ec:1.2.7.1))"	1
"(Fluorobenzoate degradation (map00364), cycloisomerase (ec:5.5.1.1))"	1
"(Starch and sucrose metabolism (map00500), endo-1,3-beta-D-glucosidase (ec:3.2.1.39))"	1
"(Purine metabolism (map00230), reductase (ec:1.7.1.7))"	1
"(Carbon fixation pathways in prokaryotes (map00720), lyase (ec:4.1.3.24))"	1
"(Polyketide sugar unit biosynthesis (map00523), reductase (ec:1.1.1.133))"	1
"(Butanoate metabolism (map00650), synthase (ec:1.2.7.1))"	1
"(Tryptophan metabolism (map00380), transaminase (ec:2.6.1.7))"	1
"(Aminobenzoate degradation (map00627), ligase (ec:6.2.1.25))"	1
"(Arachidonic acid metabolism (map00590), 1-monooxygenase (ec:1.14.15.3))"	1
"(Pyruvate metabolism (map00620), synthase (ec:4.2.3.3))"	1
"(Inositol phosphate metabolism (map00562), 4-kinase (ec:2.7.1.67))"	1
"(Phosphatidylinositol signaling system (map04070), cytidylyltransferase (ec:2.7.7.41))"	1
"(Pyrimidine metabolism (map00240), deaminase (ec:3.5.4.1))"	1
"(Fatty acid metabolism (map00071), hydratase (ec:4.2.1.74))"	1
"(Arginine and proline metabolism (map00330), deacetylase (ec:3.5.1.16))"	1
"(Terpenoid backbone biosynthesis (map00900), reductase (ec:1.1.1.88))"	1
"(Phenylalanine metabolism (map00360), oxidase (ec:1.4.3.21))"	1
"(Terpenoid backbone biosynthesis (map00900), oxidase (ec:1.8.3.5))"	1
"(Tyrosine metabolism (map00350), monophenol monooxygenase (ec:1.14.18.1))"	1
"(Aminobenzoate degradation (map00627), dehydrogenase (NAD+) (ec:1.2.1.28))"	1
"(Pyruvate metabolism (map00620), reductase (NADP+) (ec:1.1.1.79))"	1
"(Ascorbate and aldarate metabolism (map00053), oxygenase (ec:1.13.99.1))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), deaminase (ec:3.5.99.6))"	1
"(Biosynthesis of vancomycin group antibiotics (map01055), 4,6-dehydratase (ec:4.2.1.46))"	1
"(Porphyrin and chlorophyll metabolism (map00860), C20-methyltransferase (ec:2.1.1.130))"	1
"(Histidine metabolism (map00340), deformylase (ec:3.5.1.68))"	1
"(Phenylpropanoid biosynthesis (map00940), reductase (ec:1.2.1.44))"	1
"(Glycine, serine and threonine metabolism (map00260), ammonia-lyase (ec:4.3.1.19))"	1
"(Galactose metabolism (map00052), phosphotransferase (ec:2.7.1.69))"	1
"(Steroid biosynthesis (map00100), esterase (ec:3.1.1.13))"	1
"(Histidine metabolism (map00340), decarboxylase (ec:4.1.1.28))"	1
"(Amino sugar and nucleotide sugar metabolism (map00520), galactokinase (phosphorylating) (ec:2.7.1.6))"	1
"(Phosphatidylinositol signaling system (map04070), 3-kinase (ec:2.7.1.137))"	1
"(Bisphenol degradation (map00363), dioxygenase (ec:1.13.11.41))"	1
"(Terpenoid backbone biosynthesis (map00900), synthase [geranyl-diphosphate specific] (ec:2.5.1.84))"	1
"(Tryptophan metabolism (map00380), decarboxylase (ec:4.1.1.28))"	1
"(beta-Alanine metabolism (map00410), synthase (ec:2.5.1.22))"	1
"(Folate biosynthesis (map00790), synthase (ec:6.3.2.17))"	1
"(Starch and sucrose metabolism (map00500), amylo-1,6-glucosidase (ec:3.2.1.33))"	1
"(Glycerophospholipid metabolism (map00564), dehydrogenase [NAD(P)+] (ec:1.1.1.94))"	1
"(Tropane, piperidine and pyridine alkaloid biosynthesis (map00960), oxidase (ec:1.4.3.21))"	1
